coach_username,has_website,has_pricing_page,min_price_usd,max_price_usd,currency_detected,offers_online,offers_in_person,offers_nutrition,offers_transformation,offers_group,has_lead_magnet,lead_magnet_type,has_whatsapp_cta,has_contact_form,uses_linktree
eddypilier,False,False,,,none,True,True,True,False,False,True,ebook,True,True,False
rh_fitnesscoach,False,False,,,none,False,False,True,False,False,False,none,False,True,False
strengthfitnessrd,False,True,3.33,35.09,RD,False,True,True,True,False,False,none,False,True,False
davidsoto91,False,False,,,none,False,True,False,False,False,False,none,False,False,False
dairo9292,False,False,,,none,False,False,False,False,False,False,none,False,False,False
flacofit.rd,False,False,,,none,False,False,False,False,False,False,none,False,False,False
gustavo_dipres,False,False,,,none,True,True,True,True,False,False,none,True,True,False
arielmv_coach,False,False,,,none,True,True,True,True,False,False,none,True,True,False
coachnathanaelrodriguez,False,False,,,none,False,True,False,False,False,True,ebook,False,True,False
cirujano_fitness,False,True,101.0,101.0,USD,False,True,True,False,False,False,none,True,True,False
guntergil,False,True,2.63,280.7,RD,True,True,True,True,False,True,ebook,False,True,False
jc_simo,False,False,,,none,False,False,False,False,False,False,none,False,False,False
jmramos71,False,False,,,none,True,True,False,True,True,False,none,True,True,False
beto_ifbbpro,False,False,,,none,False,False,False,False,False,False,none,False,True,False
anthonypthebeast,False,False,,,none,True,True,True,True,False,True,ebook,True,True,False
epfitnesstudio.rd,False,False,,,none,False,True,True,True,False,True,ebook,False,True,False
exclusive_training_center,False,True,21.05,210.53,RD,False,True,True,True,True,False,none,False,True,False
sencillo_fit,False,True,21.05,575.44,RD,False,True,True,True,True,False,none,False,True,False
locurafitnessrd,False,False,,,none,False,True,True,True,True,False,none,True,True,False
issaafit,False,True,100.0,1199.0,USD,True,True,True,True,True,True,ebook,False,True,False
